,low defi,,,high defi,,,
days past due,high - pay,med - pay,low - pay,high - pay,med - pay,low - pay,
1,59,16,0,37,24,0,
2,142,62,3,71,73,28,
3,371,155,20,120,146,55,
4,280,84,8,74,96,31,
5,345,116,10,93,119,47,
6,333,151,21,99,149,79,
7,283,139,17,91,159,80,
8,236,118,16,69,125,58,
9,173,95,17,56,103,42,
10,161,68,9,68,103,35,
11,150,52,8,56,98,41,
12,152,62,6,51,86,42,
13,171,74,9,61,104,49,
14,177,83,11,79,138,56,
15,423,168,14,163,272,92,
16,242,115,13,107,193,61,
17,23,15,0,16,24,8,
18,222,108,6,114,165,59,
19,182,87,6,90,135,62,
20,12,6,0,6,15,3,
21,286,145,15,125,235,98,
22,253,139,15,102,211,96,
23,19,15,1,3,22,5,
24,174,93,15,79,152,67,
25,149,81,7,73,148,58,
26,25,11,0,7,9,6,
27,167,97,12,108,138,92,
28,178,118,20,111,179,121,
29,13,8,1,6,15,9,
30,122,95,23,74,146,85,
31,103,73,15,60,140,70,
32,7,6,0,5,14,3,
33,104,67,12,65,101,85,
34,94,88,17,51,130,95,
35,5,3,5,5,9,6,
36,102,108,33,73,161,132,
37,61,98,24,61,127,105,
38,6,6,1,3,12,6,
39,45,83,16,31,116,82,
40,34,66,19,28,104,88,
41,3,7,4,5,12,11,
42,47,113,41,42,148,161,
43,39,113,45,38,130,159,
44,6,4,2,4,12,14,
45,26,91,28,28,103,120,
46,19,77,26,18,90,113,
47,0,3,1,1,7,4,
48,26,86,43,25,101,140,
49,29,110,56,29,117,187,
50,2,9,2,2,7,13,
51,28,85,48,31,94,162,
52,19,73,37,22,91,135,
53,1,8,2,0,8,7,
54,18,60,27,20,58,104,
55,23,72,43,24,79,125,
56,1,12,5,2,4,28,
57,28,102,54,27,96,194,
58,19,86,47,21,82,175,
59,0,3,4,1,5,6,
60,16,74,27,19,60,127,
61,26,61,29,15,62,110,
62,16,70,40,21,62,130,
63,23,90,55,27,72,193,
64,30,89,58,29,65,214,
65,21,74,47,26,56,183,
66,14,40,57,20,36,158,
67,12,42,44,12,33,131,
68,21,46,39,12,42,125,
69,18,51,50,15,46,144,
70,17,57,75,16,54,194,
71,25,58,76,18,52,215,
72,22,44,71,16,46,209,
73,12,30,56,10,38,154,
74,19,37,51,9,37,139,
75,18,42,44,13,33,129,
76,21,46,58,17,47,157,
77,25,58,85,19,46,221,
78,31,54,84,21,49,225,
79,25,42,63,18,37,185,
80,22,28,52,12,33,148,
81,1,4,9,3,2,25,
82,3,5,8,2,3,12,
83,20,49,56,18,44,155,
84,2,0,8,2,3,15,
85,23,61,78,19,48,234,
86,19,46,62,11,37,198,
87,2,3,6,4,0,10,
88,19,60,39,9,51,144,
89,2,4,1,3,3,4,
90,15,64,43,13,53,142,34001
,,,,,,,539.6984127
,,,,,,,13.49246032
63 days,,,,,,,
